reading,temp,hum
1,28.0,53.6
2,28.1,53.8
3,28.1,53.9
4,28.1,54.0
5,28.1,54.1
6,28.1,54.0
7,28.1,53.8
8,28.1,53.7
9,28.1,53.6
10,28.1,53.6
11,28.2,53.8
12,28.2,54.2
13,28.1,54.9
14,28.2,55.2
15,28.2,55.1
16,28.2,55.1
17,28.2,55.1
18,28.2,55.0
19,28.1,54.9
20,28.2,54.7
21,28.2,54.4
22,28.2,54.3
23,28.2,54.3
1,28.2,54.2
2,28.1,53.1
3,28.3,52.5
4,28.2,52.2
5,28.0,53.8
6,28.1,53.2
7,28.2,52.3
8,28.3,52.7
1,28.3,50.4
2,28.4,52.1
3,28.3,49.5
4,28.1,49.3
5,27.8,50.6
6,27.6,49.9
7,27.6,50.5
8,27.5,50.2
9,27.5,50.2
10,27.5,50.0
11,27.4,47.6
12,27.6,49.8
13,27.6,48.7
14,27.6,49.3
15,27.6,47.7
16,27.7,48.8
17,27.7,47.5
18,27.6,50.1
19,27.7,48.8
20,27.6,50.1
21,27.5,49.0
22,27.4,48.3
23,27.6,47.6
24,27.5,47.9
25,27.7,48.6
26,27.7,47.7
27,27.7,48.3
28,27.5,47.8
29,27.4,49.5
30,27.4,50.1
31,27.4,48.9
32,27.5,50.8
33,27.3,49.3
34,27.4,49.9
35,27.2,50.2
36,27.1,50.6
37,26.9,51.2
38,26.9,52.2
39,26.9,51.9
40,27.0,51.3
41,27.2,51.5
42,27.2,51.9
43,27.1,51.7
44,26.9,51.1
45,27.0,50.8
46,26.9,50.7
47,26.9,50.4
48,26.8,50.6
49,26.8,50.9
50,26.7,51.5
51,26.7,52.0
52,26.7,51.3
53,26.7,50.9
54,26.6,51.1
55,26.6,51.2
56,26.5,51.3
57,26.5,51.3
58,26.4,51.3
59,26.4,51.6
60,26.4,51.5
61,26.4,51.4
62,26.4,51.6
63,26.3,51.6
64,26.4,51.7
65,26.3,52.0
66,26.5,54.3
1,26.5,54.2
2,26.8,54.6
3,26.8,55.1
4,27.0,55.9
5,26.9,52.9
6,26.9,56.1
7,27.0,54.8
8,26.7,53.7
9,26.6,53.8
10,26.5,54.3
11,26.5,54.4
12,26.5,54.8
13,26.5,55.0
14,26.5,55.2
15,26.5,55.2
16,26.5,55.3
17,26.5,55.2
18,26.5,55.2
19,26.5,55.3
20,26.4,55.4
21,26.4,55.7
22,26.5,55.5
23,26.5,55.6
24,26.5,55.7
25,26.5,55.8
26,26.5,55.8
27,26.5,55.8
28,26.5,56.0
29,26.4,56.0
30,26.5,56.2
31,26.4,56.0
32,26.3,55.8
33,26.3,55.8
34,26.2,56.5
35,26.2,56.4
36,26.2,56.8
37,26.3,56.8
38,26.3,56.7
39,26.3,56.9
40,26.3,57.4
41,26.4,57.3
42,26.4,57.7
43,26.4,57.9
44,26.3,58.2
45,26.3,58.3
46,26.3,58.4
47,26.3,58.6
48,26.3,58.6
49,26.3,58.6
50,26.4,58.7
51,26.4,58.7
52,26.4,58.8
53,26.3,58.9
54,26.3,58.9
55,26.3,59.0
56,26.3,59.0
57,26.3,59.1
58,26.3,59.1
1,26.3,59.1
2,26.5,62.2
3,26.3,61.9
4,26.1,61.6
5,26.0,61.6
6,25.8,61.9
7,25.8,61.9
8,25.8,62.2
9,25.9,62.6
10,25.8,62.3
11,25.7,62.4
12,25.7,62.5
13,25.6,62.7
14,25.6,62.6
15,25.6,62.6
16,25.6,62.7
17,25.7,62.7
18,25.6,63.1
19,25.5,63.0
20,25.5,63.1
21,25.5,63.1
22,25.4,63.2
23,25.5,63.0
24,25.5,63.1
25,25.4,63.3
26,25.4,63.4
27,25.4,63.4
28,25.4,63.4
29,25.4,63.4
30,25.4,63.5
31,25.4,63.5
32,25.5,63.3
33,25.5,63.4
34,25.5,63.3
35,25.4,63.4
36,25.3,63.7
37,25.3,63.9
38,25.3,63.8
39,25.3,63.9
40,25.3,64.1
41,25.3,64.2
42,25.3,64.2
43,25.3,64.2
44,25.3,64.4
45,25.3,64.3
46,25.3,64.3
47,25.3,64.2
48,25.3,64.4
49,25.3,64.3
50,25.2,64.4
51,25.1,64.8
52,25.1,65.0
53,25.1,65.0
54,25.1,65.2
55,25.0,65.4
56,25.0,65.5
57,25.2,65.6
58,25.2,65.5
59,25.2,65.4
60,25.2,65.2
61,25.2,65.1
62,25.2,65.1
63,25.1,65.3
64,25.3,65.3
65,25.2,65.4
66,25.3,65.3
67,25.1,65.5
68,25.1,65.6
69,25.2,65.6
70,25.2,65.5
71,25.1,65.5
72,25.1,65.8
73,25.1,65.8
74,25.1,65.8
75,25.1,65.8
76,25.1,65.9
77,25.1,66.0
78,25.1,66.0
79,25.2,65.9
80,25.1,66.0
81,25.1,66.0
82,25.1,66.0
83,25.2,66.3
84,25.2,66.2
85,25.3,66.1
86,25.3,65.9
87,25.3,65.9
88,25.3,65.9
89,25.3,66.0
90,25.3,65.9
91,25.3,66.1
92,25.4,66.1
93,25.4,65.9
94,25.5,65.8
95,25.4,65.8
96,25.4,66.3
97,25.8,65.9
98,26.1,65.4
99,26.2,65.0
